Name,Global_Sales
Wii Sports,82.53
Super Mario Bros.,40.24
Mario Kart Wii,35.52
Wii Sports Resort,32.77
Pokemon Red/Pokemon Blue,31.37
Tetris,30.26
New Super Mario Bros.,29.8
Wii Play,28.92
New Super Mario Bros. Wii,28.32
Duck Hunt,28.31
Nintendogs,24.67
Mario Kart DS,23.21
Pokemon Gold/Pokemon Silver,23.1
Wii Fit,22.7
Kinect Adventures!,21.81
Wii Fit Plus,21.79
Grand Theft Auto V,21.04
Grand Theft Auto: San Andreas,20.81
Super Mario World,20.61
Brain Age: Train Your Brain in Minutes a Day,20.15
Pokemon Diamond/Pokemon Pearl,18.25
Super Mario Land,18.14
Super Mario Bros. 3,17.28
Grand Theft Auto V,16.27
Grand Theft Auto: Vice City,16.15
Pokemon Ruby/Pokemon Sapphire,15.85
Brain Age 2: More Training in Minutes a Day,15.29
Pokemon Black/Pokemon White,15.14
Gran Turismo 3: A-Spec,14.98
Call of Duty: Modern Warfare 3,14.73
Pokémon Yellow: Special Pikachu Edition,14.64
Call of Duty: Black Ops 3,14.63
Call of Duty: Black Ops,14.61
Pokemon X/Pokemon Y,14.6
Call of Duty: Black Ops II,13.79
Call of Duty: Black Ops II,13.67
Call of Duty: Modern Warfare 2,13.47
Call of Duty: Modern Warfare 3,13.32
Grand Theft Auto III,13.1
Super Smash Bros. Brawl,12.84
Mario Kart 7,12.66
Call of Duty: Black Ops,12.63
Grand Theft Auto V,12.61
Animal Crossing: Wild World,12.13
Halo 3,12.12
Super Mario 64,11.89
Pokemon HeartGold/Pokemon SoulSilver,11.77
Pokemon Omega Ruby/Pokemon Alpha Sapphire,11.68
Gran Turismo 4,11.66
Super Mario Galaxy,11.35
Super Mario Land 2: 6 Golden Coins,11.18
Grand Theft Auto IV,11.01
Gran Turismo,10.95
Super Mario 3D Land,10.81
Gran Turismo 5,10.7
Call of Duty: Modern Warfare 2,10.6
Super Mario All-Stars,10.55
Grand Theft Auto IV,10.5
Pokemon FireRed/Pokemon LeafGreen,10.49
Super Mario 64,10.3
Call of Duty: Ghosts,10.25
Just Dance 3,10.12
New Super Mario Bros. 2,9.9
Mario Kart 64,9.87
Halo: Reach,9.86
Final Fantasy VII,9.72
Halo 4,9.71
Gran Turismo 2,9.49
Just Dance 2,9.44
Call of Duty: Ghosts,9.36
Call of Duty 4: Modern Warfare,9.31
Donkey Kong Country,9.3
Minecraft,9.18
Animal Crossing: New Leaf,9.16
Mario Party DS,8.91
The Elder Scrolls V: Skyrim,8.79
Super Mario Kart,8.76
FIFA 16,8.57
Halo 2,8.49
Wii Party,8.38
Mario Party 8,8.27
FIFA Soccer 13,8.16
GoldenEye 007,8.09
Pokemon Black 2/Pokemon White 2,8.07
Final Fantasy X,8.05
The Sims 3,8.01
Mario & Sonic at the Olympic Games,7.99
Star Wars Battlefront (2015),7.98
Final Fantasy VIII,7.86
Pac-Man,7.81
Pokémon Platinum Version,7.72
Grand Theft Auto: Liberty City Stories,7.69
Call of Duty: Advanced Warfare,7.66
The Legend of Zelda: Ocarina of Time,7.6
FIFA 17,7.59
Crash Bandicoot 2: Cortex Strikes Back,7.58
Super Smash Bros. for Wii U and 3DS,7.55
Super Mario Galaxy 2,7.51
Super Mario Bros. 2,7.46
Call of Duty: Black Ops 3,7.39
Call of Duty: World at War,7.38
Battlefield 3,7.32
Need for Speed Underground,7.2
Just Dance,7.2
Battlefield 3,7.17
Fallout 4,7.16
Tekken 3,7.16
The Legend of Zelda: Twilight Princess,7.15
Pokemon Sun/Moon,7.14
Crash Bandicoot 3: Warped,7.13
Mario Kart 8,7.09
Super Smash Bros. Melee,7.07
Mario Kart: Double Dash!!,6.95
Need for Speed Underground 2,6.9
Medal of Honor: Frontline,6.83
Crash Bandicoot,6.82
Just Dance 4,6.76
Gears of War 2,6.75
Uncharted 3: Drake's Deception,6.74
Zumba Fitness,6.71
Call of Duty 4: Modern Warfare,6.68
Uncharted 2: Among Thieves,6.66
FIFA 12,6.65
Big Brain Academy,6.62
The Legend of Zelda,6.51
Red Dead Redemption,6.49
FIFA 14,6.47
Assassin's Creed III,6.45
Donkey Kong Country Returns,6.44
Halo: Combat Evolved,6.43
The Elder Scrolls V: Skyrim,6.41
Pokémon Emerald Version,6.41
Kingdom Hearts,6.4
Pokémon Crystal Version,6.39
Halo 3: ODST,6.34
Red Dead Redemption,6.32
Super Mario Sunshine,6.31
Street Fighter II: The World Warrior,6.3
World of Warcraft,6.29
Driver,6.27
Gears of War 3,6.21
Kinect Sports,6.19
Gears of War,6.09
FIFA 15,6.08
Metal Gear Solid 2: Sons of Liberty,6.05
Sonic the Hedgehog 2,6.03
Metal Gear Solid,6.03
Metal Gear Solid 4: Guns of the Patriots,5.99
Final Fantasy XII,5.95
The Last of Us,5.87
LittleBigPlanet,5.82
Resident Evil 2,5.82
Dragon Quest IX: Sentinels of the Starry Skies,5.78
Tekken 2,5.74
Destiny,5.64
LEGO Star Wars: The Complete Saga,5.64
Cooking Mama,5.63
Tetris,5.58
Super Smash Bros.,5.55
Assassin's Creed II,5.55
Assassin's Creed,5.54
Forza Motorsport 3,5.49
Super Mario Advance,5.49
Monster Hunter Freedom Unite,5.48
Batman: Arkham City,5.48
Grand Theft Auto V,5.48
Mario Kart: Super Circuit,5.47
Super Mario World,5.46
Pokemon Stadium,5.45
Crash Bandicoot: The Wrath of Cortex,5.42
Call of Duty: World at War,5.39
Uncharted 4: A Thief's End,5.38
Dr. Mario,5.34
Final Fantasy XIII,5.33
Pokemon Pinball,5.31
Final Fantasy IX,5.3
Assassin's Creed III,5.29
Final Fantasy X-2,5.29
Donkey Kong 64,5.27
Call of Duty: Advanced Warfare,5.27
Minecraft,5.26
Assassin's Creed II,5.26
Tomb Raider II,5.24
Madden NFL 2004,5.23
Tomodachi Life,5.23
New Super Mario Bros. U,5.22
Dragon Quest VIII: Journey of the Cursed King,5.21
Super Mario Bros. 3,5.2
Professor Layton and the Curious Village,5.19
Super Mario Land 3: Wario Land,5.19
FIFA Soccer 13,5.16
Donkey Kong Country 2: Diddy's Kong Quest,5.15
Diablo III,5.14
Medal of Honor: Rising Sun,5.13
Kirby's Dream Land,5.13
Microsoft Flight Simulator,5.12
Guitar Hero II,5.12
Fable III,5.1
Mario & Sonic at the Olympic Games,5.09
Resident Evil 5,5.09
The Legend of Zelda: Phantom Hourglass,5.08
Super Mario Bros.,5.07
FIFA Soccer 11,5.07
Resident Evil,5.05
Grand Theft Auto: Vice City Stories,5.03
Tony Hawk's Pro Skater,5.02
Warzone 2100,5.01
Spyro the Dragon,5.0
Guitar Hero III: Legends of Rock,4.98
Link's Crossbow Training,4.98
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,4.93
Fallout 3,4.93
Uncharted: Drake's Fortune,4.92
Madden NFL 06,4.91
Diddy Kong Racing,4.88
Monster Hunter Freedom 3,4.87
Super Smash Bros. for Wii U and 3DS,4.87
Dr. Mario,4.85
StarCraft II: Wings of Liberty,4.84
Assassin's Creed,4.82
God of War III,4.8
Crash Team Racing,4.79
LEGO Star Wars: The Complete Saga,4.76
Driver 2,4.73
Batman: Arkham City,4.73
The Last of Us,4.71
The Simpsons: Hit & Run,4.7
Tony Hawk's Pro Skater 2,4.68
The Lord of the Rings: The Two Towers,4.67
Tomb Raider,4.63
Animal Crossing: City Folk,4.62
Uncharted: The Nathan Drake Collection,4.62
The Legend of Zelda: A Link to the Past,4.61
The Legend of Zelda: The Wind Waker,4.6
Guitar Hero III: Legends of Rock,4.6
Luigi's Mansion: Dark Moon,4.59
Forza Motorsport 4,4.57
Mario & Sonic at the Olympic Winter Games,4.53
Madden NFL 2005,4.53
Guitar Hero III: Legends of Rock,4.53
Pitfall!,4.5
Madden NFL 07,4.49
Halo 5: Guardians,4.48
Spider-Man: The Movie,4.48
Dragon Quest VII: Warriors of Eden,4.47
Call of Duty: Infinite Warfare,4.46
God of War,4.45
Splatoon,4.43
Nintendo Land,4.42
Tony Hawk's Pro Skater 3,4.41
Winning Eleven: Pro Evolution Soccer 2007,4.39
The Elder Scrolls IV: Oblivion,4.38
Zelda II: The Adventure of Link,4.38
Need for Speed: Most Wanted,4.37
Michael Jackson: The Experience,4.36
Call of Duty: Advanced Warfare,4.36
Resistance: Fall of Man,4.34
Sonic the Hedgehog,4.34
Kingdom Hearts II,4.33
The Legend of Zelda: Ocarina of Time,4.33
Super Mario 3D World,4.32
Minecraft,4.32
Asteroids,4.31
Call of Duty: Advanced Warfare,4.29
FIFA 15,4.28
Fable II,4.27
Namco Museum,4.24
Batman: Arkham Asylum,4.23
Metal Gear Solid 3: Snake Eater,4.23
Assassin's Creed: Revelations,4.22
