title,view_count,channel_follower_count
ROSÉ & Bruno Mars - APT. (Official Music Video),2009014557,19200000
"Lady Gaga, Bruno Mars - Die With A Smile (Official Music Video)",1324833300,29600000
Reneé Rapp - Leave Me Alone (Official Music Video),2536628,408000
Billie Eilish - BIRDS OF A FEATHER (Official Music Video),558329099,56800000
Reneé Rapp - Mad (Official Music Video),2113548,408000
Sabrina Carpenter - Espresso,472570966,12300000
Lady Gaga - Abracadabra (Official Music Video),191073418,29600000
Ed Sheeran - Sapphire (Official Music Video),184696317,58500000
yung kai - blue (official music video),187281056,1220000
Billie Eilish - WILDFLOWER (BILLIE BY FINNEAS),40408980,56800000
Zillionaire Doe - How It's Going (Official Video),1198540,142000
Alex Warren - Ordinary (Official Video),147871443,4050000
Kendrick Lamar - luther (Official Audio),142084039,19700000
Shaboozey - A Bar Song (Tipsy) [Official Visualizer],288277902,955000
Kendrick Lamar - Not Like Us,397228595,19700000
LISA - BORN AGAIN feat. Doja Cat & RAYE (Official Music Video),115058148,8080000
C'zah - Vent | Official Music Video,12089,1320
Lola Young - Messy (Official Video),110991682,565000
Teddy Swims - Bad Dreams (Official Music Video),160421970,6070000
"JENNIE, Doechii - ExtraL (Official Video)",92973980,16100000
Sabrina Carpenter - Please Please Please,253618903,12300000
JWAVY - SUNSET (FEAT. MARIBASED1) [MUSIC VIDEO],7805,14800
Tommy Richman - MILLION DOLLAR BABY (Official Lyric Video) SHOT BY BELVEDERE,45822601,655000
Sabrina Carpenter - Manchild (Official Video),80889460,12300000
Doechii - Anxiety (Official Video),51336708,3140000
"Adam Port, Stryv - Move feat. Malachiii (Extended Version)",87005996,255000
Tutipsy & Niickii - Afro Disco (Visualizer),17322,47
Billie Eilish - CHIHIRO (Official Music Video),148501523,56800000
Sabrina Carpenter - Taste (Official Video),210275500,12300000
Post Malone - I Had Some Help (feat. Morgan Wallen) (Official Video),209840684,28400000
Gracie Abrams - That’s So True (Official Lyric Video),28007213,1770000
NIGHT SKIES (Official Music Video),6605,3630
SEVDALIZA - ALIBI FT. PABLLO VITTAR & YSEULT (OFFICIAL MUSIC VIDEO),236500879,1230000
Myles Smith - Stargazing (Take My Heart Don’t Break It) - Visualiser,36173120,391000
ROSÉ - number one girl (official music video),119135427,19200000
squabble up,70965585,19700000
"ROLE MODEL - Sally, When The Wine Runs Out (Official Music Video)",7550110,360000
ROSÉ - toxic till the end (OFFICIAL MUSIC VIDEO),112391296,19200000
"Chappell Roan - Good Luck, Babe! (Official Lyric Video)",118077070,2250000
LISA - NEW WOMAN feat. Rosalía (Official Music Video),174553002,8080000
Ed Sheeran - Azizam (Official Music Video),34415168,58500000
PJ - The Real Thing,17943,32000
sombr - back to friends (official video),47392334,616000
Jackson Wang - Made Me a Man (Official Music Video),40129974,5350000
David Guetta & Sia - Beautiful People (Official Video),41075369,27600000
The Weeknd - São Paulo (Official Music Video),48615120,38700000
RAAHiiM feat. BEAM - WiiCKEDEST (Official Visualizer),188724,16100
David Guetta & OneRepublic - I Don't Wanna Wait (Official Video),108529744,27600000
Drake - NOKIA (Official Music Video),39114736,31500000
The Weeknd - Cry For Me (Official Music Video),40322577,38700000
Tate McRae - Sports car (Official Video),34091789,6320000
GIVĒON - RATHER BE (Official Music Video),3794711,3330000
Benson Boone - Slow It Down (Official Music Video),85513596,5360000
Tate McRae - Just Keep Watching (From F1® The Movie) (Official Video),36141339,6320000
Charli xcx - Guess featuring billie eilish (official video),79002814,3900000
Alex Warren - Carry You Home (Official Video),52725607,4050000
Roy Woods - You (Official Music Video),125528,297000
Maroon 5 - Priceless ft. LISA (Official Video),29890943,37800000
Dean Lewis - With You (Official Video),30313088,2680000
Benson Boone - Mystical Magical (Official Lyric Video),30192542,5360000
Tate McRae - Revolving door (Official Video),30012095,6320000
Taylor Swift - Fortnight (feat. Post Malone) (Official Music Video),158325692,61500000
Vex Prince - MONEY feat Dorty (Official Music Video),899024,6100
d4vd - Feel It (Official Music Video),37464367,2220000
Damiano David - Born With a Broken Heart (Official Video),38500113,514000
"Nelly Wap ""Up Next"" (Off The Porch Live Performance)",4637,605000
JENNIE & Dua Lipa - Handlebars (Official Video),33919328,16100000
SHOOP - CAPRIS (Official Music Video),37164,43
Miley Cyrus - End of the World (Official Video),29225841,19900000
Ravyn Lenae - Love Me Not (Official Music Video),25353734,203000
Tate McRae - It's ok I'm ok (Official Video),55388007,6320000
Myles Smith - Nice To Meet You (Official Video),32203892,391000
Claudia Valentina - Candy (Official Video),667846,23900
Lady Gaga - Disease (Official Music Video),46125355,29600000
Tyla - PUSH 2 START (Official Music Video),111453988,5070000
Coldplay - ALL MY LOVE (Official Video),46253970,28100000
JENNIE - Mantra (Official Video),208325690,16100000
The Weeknd - Open Hearts (Official Video),23070337,38700000
Insãne Shinobi & Johnnie Noct - REVENGE (Official Music Video),6174,1200
Imagine Dragons - Take Me To The Beach (feat. Ado) (Official Lyric Video),30301956,32900000
Justin Bieber - DAISIES (Audio),24709753,76200000
Sabrina Carpenter - Bed Chem (Official Lyric Video),44470482,12300000
Dua Lipa - Illusion (Official Music Video),80373280,24400000
Sabrina Carpenter - Busy Woman (Official Lyric Video),20923612,12300000
Addison Rae - Diet Pepsi (Official Video),35211939,4350000
Ryan Collins - Stars n Stripes (Official Music Video),1161,1
Sabrina Carpenter - Juno (Official Lyric Video),34725855,12300000
"David Guetta, Alphaville & Ava Max - Forever Young (Official Music Video)",18154200,27600000
keshi - Soft Spot (Official Music Video),26261465,1900000
Tyla x Wizkid - DYNAMITE (Official Music Video),7826393,5070000
Ariana Grande - intro (end of the world) (extended) (lyric visualizer),19166284,56400000
Maz Univerze - Heroes (Official Music Video),8687,2120
Taylor Swift - Guilty as Sin (Official Lyric Video),46131082,61500000
"Selena Gomez, benny blanco - Sunset Blvd (Official Video)",18620923,35500000
Justin Bieber - YUKON,21968615,76200000
Ariana Grande - twilight zone (Official Lyric Video),18245315,56400000
"Gracie Abrams - I Love You, I’m Sorry (Official Music Video)",31456772,1770000
HoodTrophy Bino ft. FCG Heem - Miami (Official Music Video),66051,20300
Sean Paul x INNA - Let It Talk To Me,16952860,5200000
"Selena Gomez, benny blanco - How Does It Feel To Be Forgotten (Official Lyric Video)",16971256,35500000
